Dataset,Model,Preprocessor,Fit Time (s),Predict Time (s),Peak Memory (MB),Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,Average Precision,Error
credit,KNN,Robust Scaler,0.13158907890319824,1.5111611127853393,6.652122497558594,0.625578146438811,0.6908565330153121,0.625578146438811,0.6421285789957618,0.41011887522104856,
credit,KNN,Uniform Binning,0.12149271965026856,1.4834446907043457,6.676995277404785,0.6347424359391309,0.6971953842630849,0.6347424359391309,0.6518014600843587,0.41395014897962923,
credit,KNN,Quantile Binning,0.1310037851333618,1.4877972602844238,6.652071952819824,0.6183983929938142,0.6809455649930309,0.6183983929938142,0.6337009960336781,0.40173749312324514,
credit,KNN,Random Undersampling,0.08918478488922119,4.051972436904907,6.6470232009887695,0.5941053483212595,0.565255263942974,0.5941053483212595,0.5399704603251649,0.2914121314893608,
credit,KNN,SMOTE,2.485602378845215,19.83745942115784,6.647036552429199,0.5768760026730668,0.554816563868502,0.5768760026730668,0.541061234984406,0.28633155871870186,
credit,SVM,Baseline,30.061587142944337,3.3479850053787232,6.647051811218262,0.5453113211439857,0.5393839446194182,0.5453113211439857,0.3997852232272874,0.26772859173658314,
credit,SVM,Yeo-Johnson,30.610001659393312,3.450295162200928,6.652448654174805,0.5455265469742375,0.5330178053902801,0.5455265469742375,0.49847695585249896,0.2899096861055389,
credit,SVM,Quantile Transform,30.660526990890503,3.4539422273635862,6.653225898742676,0.47479996924231066,0.4815726268050179,0.47479996924231066,0.40721827595208315,0.28214041020109043,
credit,SVM,Min-Max Scaler,30.027008366584777,3.4195005893707275,6.652578353881836,0.4865103933219939,0.4898006186158625,0.4865103933219939,0.4678757593911117,0.2246208063474119,
credit,SVM,Standard Scaler,29.9951331615448,3.428884506225586,6.677870750427246,0.5803488578173066,0.5635554463676156,0.5803488578173066,0.5131916836772058,0.3445275818928471,
credit,SVM,Robust Scaler,29.95311233997345,3.4446835279464723,6.652593612670898,0.5405536136171134,0.5508055000726851,0.5405536136171134,0.3390046494495034,0.29982534504114466,
credit,SVM,Uniform Binning,29.93140482902527,3.4322752714157105,6.653219223022461,0.5162597226303335,0.5140105581067633,0.5162597226303335,0.493071499285562,0.2497589398413072,
credit,SVM,Quantile Binning,30.014100551605225,3.421450209617615,6.653179168701172,0.5757392935247663,0.554514594792803,0.5757392935247663,0.5226946133771632,0.3206455859566933,
credit,SVM,Random Undersampling,9.063664746284484,3.393817186355591,6.679559707641602,0.5382499870471446,0.5499641353522032,0.5382499870471446,0.3360188341520658,0.311505933577895,
credit,SVM,SMOTE,48.167134284973145,3.2809531450271607,6.648125648498535,0.5528200488321302,0.5457564754700348,0.5528200488321302,0.4117160952212,0.3090411150704952,
credit,Random Forest,Baseline,7.724807572364807,0.15246200561523438,6.650118827819824,0.657902696238014,0.7457276017701544,0.657902696238014,0.6813932255756274,0.5362306980882308,
credit,Random Forest,Yeo-Johnson,8.080597519874573,0.17344532012939454,6.656170845031738,0.6583423954778117,0.7466941026953883,0.6583423954778117,0.6819793652135908,0.5361088271707859,
credit,Random Forest,Quantile Transform,7.803667807579041,0.1844707489013672,6.681862831115723,0.6585363831478149,0.7469492040891137,0.6585363831478149,0.6822205771969438,0.5364002604734418,
credit,Random Forest,Min-Max Scaler,7.768769717216491,0.158304762840271,6.656031608581543,0.6579567343861144,0.7456586179344848,0.6579567343861144,0.6814381975214294,0.5364436223629611,
credit,Random Forest,Standard Scaler,7.746106386184692,0.1590313196182251,6.6558637619018555,0.6582037874808133,0.7459818890404294,0.6582037874808133,0.6817218316184582,0.5365232582709705,
credit,Random Forest,Robust Scaler,7.751055383682251,0.17438161373138428,6.65610408782959,0.658226578909294,0.7455186949157324,0.658226578909294,0.6816758759175586,0.5362576476634177,
