Dataset,Model,Preprocessor,Perspective,Peak_Memory_MB,Pipeline_Disk_Size_MB,Fit_Time_sec,Predict_Time_Test_sec,Converged,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_ROC_AUC,Test_PR_AUC,Test_MCC
kr-vs-kp,SVM,Uniform Binning,Equity,5.620667457580566,0.263427734375,0.18085746663726032,0.03338015552920594,0.0,0.998198870453278,0.9980630248346453,0.9544670586949996,0.9959747567853091,0.99566290465982,0.9332137295438756
kr-vs-kp,SVM,Yeo-Johnson,Equality,5.6203460693359375,0.5957622528076172,0.49997365557485157,0.06034435553010548,0.0,0.5183473130775573,0.4888474999667201,0.03698089201304675,0.49731886163019057,0.4760570977292442,0.03215961590697364
kr-vs-kp,SVM,Yeo-Johnson,Equity,5.620038986206055,0.2323207855224609,0.3713639666740265,0.03337397778199774,0.0,0.9938030297905325,0.9932310173581863,0.9382959125261575,0.9897938560629745,0.9880319186459021,0.9246443778796001
kr-vs-kp,XGB,Baseline,Equality,5.61892032623291,0.1571855545043945,0.1108803555576337,0.010032533331670666,,0.9996055500975809,0.9995529881458909,0.9868318832517824,0.9991485975045322,0.9990775756070225,0.9812626651964191
kr-vs-kp,XGB,Baseline,Equity,5.61892032623291,0.1571855545043945,0.1108803555576337,0.010032533331670666,,0.9996055500975809,0.9995529881458909,0.9868318832517824,0.9991485975045322,0.9990775756070225,0.9812626651964191
kr-vs-kp,XGB,IQR Capping,Equality,5.620684623718262,0.1592264175415039,0.17826370001097933,0.04583179998573739,,0.9995575524779021,0.9994995894146326,0.9831529035664355,0.9991627348706915,0.9991081272937927,0.9695921495406582
kr-vs-kp,XGB,IQR Capping,Equity,5.620684623718262,0.1592264175415039,0.17826370001097933,0.04583179998573739,,0.9995575524779021,0.9994995894146326,0.9831529035664355,0.9991627348706915,0.9991081272937927,0.9695921495406582
kr-vs-kp,XGB,IQR Removal,Equality,5.618612289428711,0.091583251953125,0.1213228111284681,0.0113856333126831,,0.747724285492611,0.7173341332148455,0.36672195427033333,0.7470724828458641,0.7157248215211215,0.36522265313001434
kr-vs-kp,XGB,IQR Removal,Equity,5.618612289428711,0.091583251953125,0.1213228111284681,0.0113856333126831,,0.747724285492611,0.7173341332148455,0.36672195427033333,0.7470724828458641,0.7157248215211215,0.36522265313001434
kr-vs-kp,XGB,LDA,Equality,5.619593620300293,0.1462907791137695,0.09205732222956912,0.009791366691287143,,0.9832563600399311,0.9801274382288507,0.8815782930694261,0.979249023525307,0.9744598243109979,0.8763397712009395
kr-vs-kp,XGB,LDA,Equity,5.619593620300293,0.1462907791137695,0.09205732222956912,0.009791366691287143,,0.9832563600399311,0.9801274382288507,0.8815782930694261,0.979249023525307,0.9744598243109979,0.8763397712009395
kr-vs-kp,XGB,MinMax Scaling,Equality,5.619338035583496,0.1590042114257812,0.11276762222405518,0.00972117779828189,,0.9996055500975809,0.9995529881458909,0.9868318832517824,0.9991485975045322,0.9990775756070225,0.9812626651964191
kr-vs-kp,XGB,MinMax Scaling,Equity,5.619338035583496,0.1590042114257812,0.11276762222405518,0.00972117779828189,,0.9996055500975809,0.9995529881458909,0.9868318832517824,0.9991485975045322,0.9990775756070225,0.9812626651964191
kr-vs-kp,XGB,PCA (Raw),Equality,5.618206024169922,0.175567626953125,0.20198411110322917,0.009013788865154755,,0.9985464017882755,0.9984467730534226,0.9548203787908338,0.996744211758015,0.9965018210103329,0.9349170860745148
kr-vs-kp,XGB,PCA (Raw),Equity,5.618206024169922,0.175567626953125,0.20198411110322917,0.009013788865154755,,0.9985464017882755,0.9984467730534226,0.9548203787908338,0.996744211758015,0.9965018210103329,0.9349170860745148
kr-vs-kp,XGB,PCA (Scaled),Equality,5.620247840881348,0.2114219665527343,0.46215256665729815,0.009834499990877979,,0.9986667033527977,0.998540615169324,0.9669576062975771,0.9940319759600499,0.9935956409034418,0.9207536016748689
kr-vs-kp,XGB,PCA (Scaled),Equity,5.620247840881348,0.2114219665527343,0.46215256665729815,0.009834499990877979,,0.9986667033527977,0.998540615169324,0.9669576062975771,0.9940319759600499,0.9935956409034418,0.9207536016748689
kr-vs-kp,XGB,Quantile Binning,Equality,5.6197004318237305,0.1983222961425781,0.1223370888943059,0.009804622231361712,,0.9992308589372139,0.9991690146831814,0.9676697939025812,0.9981713748699649,0.9980295873489975,0.9509870041712937
kr-vs-kp,XGB,Quantile Binning,Equity,5.6197004318237305,0.1983222961425781,0.1223370888943059,0.009804622231361712,,0.9992308589372139,0.9991690146831814,0.9676697939025812,0.9981713748699649,0.9980295873489975,0.9509870041712937
kr-vs-kp,XGB,Quantile Transform,Equality,5.619359016418457,0.439854621887207,0.3115111777895233,0.020295244447576456,,0.9996055500975809,0.9995529881458909,0.9868318832517824,0.9991485975045322,0.9990775756070225,0.9812626651964191
