Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc2,XGBoost,MinMax Scaling,9,,0.0458679999992455,0.0027332999998179,,,89.0,374.0,0.0,7.0,0.990460672905526,0.9773465546763552,0.9539655686720164,7.0,39.0,2.0,4.0,0.7583148558758316,0.5429374918011283,0.6343108212898084,
kc2,XGBoost,MinMax Scaling,10,,0.0521205000004556,0.0035267000002932,,,89.0,374.0,0.0,7.0,0.9916722370766488,0.9792127453195636,0.9539655686720164,4.0,39.0,2.0,7.0,0.614190687361419,0.4096417710239791,0.4024811381306976,
kc2,XGBoost,IQR Capping,1,,0.142721000000165,0.0173190999994403,0.596074104309082,0.142221450805664,88.0,373.0,0.0,8.0,0.9886896782841824,0.9741253210029396,0.9473220532722348,7.0,36.0,6.0,4.0,0.8441558441558442,0.5931871159143886,0.4651705239840723,
kc2,XGBoost,IQR Capping,2,,0.0937005999985558,0.0269463999993604,,,90.0,373.0,0.0,6.0,0.9956713583556748,0.9871378768741236,0.9605510456741204,6.0,34.0,8.0,5.0,0.7337662337662338,0.5039082850771163,0.3265325943837212,
kc2,XGBoost,IQR Capping,3,,0.0871466000007785,0.0183295000006182,,,90.0,373.0,0.0,7.0,0.9926066167325392,0.9807887593944672,0.954328744840284,5.0,36.0,6.0,5.0,0.7535714285714286,0.6613030004101432,0.344650047684635,
kc2,XGBoost,IQR Capping,4,,0.1035768999990978,0.0248151999985566,,,89.0,373.0,0.0,8.0,0.9894972499378126,0.9746921661050498,0.947765867797998,5.0,40.0,2.0,5.0,0.9142857142857144,0.791969696969697,0.5223645292668042,
kc2,XGBoost,IQR Capping,5,,0.1036462000010942,0.0220401999995374,,,89.0,373.0,0.0,8.0,0.9892899588181642,0.9745356945965246,0.947765867797998,3.0,38.0,4.0,7.0,0.7714285714285714,0.5027210663433573,0.2364386816681324,
kc2,XGBoost,IQR Capping,6,,0.1008309999997436,0.0287558999989414,,,91.0,374.0,0.0,5.0,0.9921178698752228,0.9810437312091268,0.967166567735332,5.0,38.0,3.0,6.0,0.656319290465632,0.5012213766625531,0.4316868746562183,
kc2,XGBoost,IQR Capping,7,,0.0823620999999548,0.0225405999990471,,,88.0,374.0,0.0,8.0,0.9898200757575758,0.9752367681442852,0.9473486470079449,5.0,36.0,5.0,6.0,0.6906873614190687,0.4939536979873609,0.344650047684635,
kc2,XGBoost,IQR Capping,8,,0.100859299998774,0.0211564000001089,,,88.0,374.0,0.0,8.0,0.9894022950089124,0.9744458992093004,0.9473486470079449,5.0,39.0,2.0,6.0,0.7339246119733924,0.6191001299616522,0.485520466648937,
kc2,XGBoost,IQR Capping,9,,0.0933697000000393,0.0202074999997421,,,89.0,374.0,0.0,7.0,0.9911430481283422,0.9783259408792006,0.9539655686720164,6.0,39.0,2.0,5.0,0.7694013303769401,0.5556355647926451,0.5621968600174005,
kc2,XGBoost,IQR Capping,10,,0.0903076000013243,0.0222765999988041,,,89.0,374.0,0.0,7.0,0.9913519385026736,0.9787458052519098,0.9539655686720164,3.0,40.0,1.0,8.0,0.6341463414634146,0.4501357733175915,0.3806090734789258,
kc2,XGBoost,IQR Capping + Scaling,1,,0.1608242000002064,0.0178711999997176,0.5974454879760742,0.1430644989013672,88.0,373.0,0.0,8.0,0.9886896782841824,0.9741253210029396,0.9473220532722348,7.0,36.0,6.0,4.0,0.8441558441558442,0.5931871159143886,0.4651705239840723,
kc2,XGBoost,IQR Capping + Scaling,2,,0.1004265000010491,0.0217131999997945,,,90.0,373.0,0.0,6.0,0.9956713583556748,0.9871378768741236,0.9605510456741204,6.0,34.0,8.0,5.0,0.7337662337662338,0.5039082850771163,0.3265325943837212,
