Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
climate-model-simulation-crashes,GaussianNB,IQR Removal,3,,0.0338895000004413,0.0038045000001147,,,24.0,444.0,1.0,17.0,0.9672238969580708,0.8998000677843203,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,IQR Removal,4,,0.0328796000012516,0.0036987999992561,,,23.0,445.0,0.0,18.0,0.969909564264182,0.9164858551614956,0.7342796625045116,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Removal,5,,0.0337175000004208,0.0037620000002789,,,23.0,444.0,1.0,18.0,0.9681556590846806,0.9115244666844224,0.7167143282176431,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,IQR Removal,6,,0.0326069000002462,0.0037013999990449,,,26.0,443.0,2.0,15.0,0.9664565634420388,0.8933372046988137,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Removal,7,,0.0315077999985078,0.0036147000009805,,,27.0,443.0,1.0,15.0,0.9886851136851136,0.9127369444919936,0.772493129415551,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,IQR Removal,8,,0.0326239000005443,0.0036204000007273,,,27.0,443.0,1.0,15.0,0.9673959673959672,0.903256948660062,0.772493129415551,0.0,50.0,0.0,4.0,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GaussianNB,IQR Removal,9,,0.0335355999995954,0.0028361000004224,,,25.0,442.0,2.0,17.0,0.9692192192192192,0.906185898007946,0.7246354428928556,2.0,50.0,0.0,2.0,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,IQR Removal,10,,0.0314870999991399,0.0023423999991791,,,26.0,443.0,1.0,16.0,0.9657335907335908,0.9014056144117724,0.756604653608717,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,1,,0.0636948999999731,0.0039223000003403,0.5406265258789062,0.0043210983276367,22.0,443.0,2.0,19.0,0.9650315154836944,0.8898739641950959,0.6825448987970256,3.0,49.0,0.0,2.0,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,2,,0.034521700001278,0.0039517999994131,,,25.0,445.0,0.0,16.0,0.9676075637160868,0.9042690669129266,0.7671982769318432,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,3,,0.0342132000005221,0.0029942000001028,,,24.0,444.0,1.0,17.0,0.9672238969580708,0.8998000677843203,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,4,,0.0335430999984964,0.0035960999994131,,,23.0,445.0,0.0,18.0,0.969909564264182,0.9164858551614956,0.7342796625045116,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,5,,0.0314545999990514,0.0036877999991702,,,23.0,444.0,1.0,18.0,0.9681556590846806,0.9115244666844224,0.7167143282176431,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,6,,0.0345213999989937,0.0026995000007445,,,26.0,443.0,2.0,15.0,0.9664565634420388,0.8933372046988137,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,7,,0.0320292000014887,0.0024190000003727,,,27.0,443.0,1.0,15.0,0.9886851136851136,0.9127369444919936,0.772493129415551,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,8,,0.030710099999851,0.0028326000010565,,,27.0,443.0,1.0,15.0,0.9673959673959672,0.903256948660062,0.772493129415551,0.0,50.0,0.0,4.0,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,9,,0.0325842000002012,0.0036892000007355,,,25.0,442.0,2.0,17.0,0.9692192192192192,0.906185898007946,0.7246354428928556,2.0,50.0,0.0,2.0,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,IQR Removal + Scaling,10,,0.0314938999999867,0.0035232999998697,,,26.0,443.0,1.0,16.0,0.9657335907335908,0.9014056144117724,0.756604653608717,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,1,,0.2239874999995663,0.0042881999997916,0.5392951965332031,0.0037870407104492,24.0,443.0,2.0,17.0,0.9648122773362564,0.8865129906838823,0.7174413297070527,3.0,49.0,0.0,2.0,0.9918367346938776,0.9266666666666664,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,2,,0.0423838000006071,0.0044522999996843,,,26.0,444.0,1.0,15.0,0.96727870649493,0.9030240977252512,0.766710622842037,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,3,,0.0562499999996362,0.0044577999997272,,,24.0,444.0,1.0,17.0,0.9666758015894764,0.8940936381057639,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,4,,0.0519113999998808,0.0027129999998578,,,25.0,445.0,0.0,16.0,0.9697999451904632,0.9124276371393424,0.7671982769318432,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,5,,0.055137299999842,0.0042284999999537,,,24.0,444.0,1.0,17.0,0.9674979446423676,0.9048490014832374,0.733682918496888,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,6,,0.0557449999996606,0.0027348000003257,,,26.0,443.0,2.0,15.0,0.9664017539051796,0.8926996744017609,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,7,,0.0431613999990077,0.0042665000000852,,,27.0,442.0,2.0,15.0,0.9882024882024882,0.910579490724417,0.7572158377015457,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,8,,0.0351685999994515,0.0035375999996176,,,27.0,443.0,1.0,15.0,0.9673423423423424,0.9017746415652396,0.772493129415551,0.0,50.0,0.0,4.0,0.875,0.5,0.0,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,9,,0.0456154000003152,0.0027468000007502,,,25.0,442.0,2.0,17.0,0.968951093951094,0.9029159749344264,0.7246354428928556,2.0,50.0,0.0,2.0,0.98,0.8303571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson,10,,0.0509146000003966,0.0027025999988836,,,25.0,442.0,2.0,17.0,0.9650900900900902,0.8955701373203847,0.7246354428928556,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,1,,0.1615686000004643,0.0048611000001983,0.5406131744384766,0.0044193267822265,24.0,443.0,2.0,17.0,0.9648122773362564,0.8865129906838823,0.7174413297070527,3.0,49.0,0.0,2.0,0.9918367346938776,0.9266666666666664,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,2,,0.0485367999990558,0.0045841999999538,,,26.0,444.0,1.0,15.0,0.96727870649493,0.9030240977252512,0.766710622842037,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,3,,0.0504995000010239,0.0027982999999949,,,24.0,444.0,1.0,17.0,0.9666758015894764,0.8940936381057639,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,4,,0.0479040000009263,0.0045532999993156,,,25.0,445.0,0.0,16.0,0.9697999451904632,0.9124276371393424,0.7671982769318432,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,5,,0.0579947999995056,0.0053482999992411,,,24.0,444.0,1.0,17.0,0.9674979446423676,0.9048490014832374,0.733682918496888,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,6,,0.0546649999996589,0.0044735999999829,,,26.0,443.0,2.0,15.0,0.9664017539051796,0.8926996744017609,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,7,,0.0490525000004709,0.0050104000001738,,,27.0,442.0,2.0,15.0,0.9882024882024882,0.910579490724417,0.7572158377015457,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,8,,0.0496877000005042,0.0044367999998939,,,27.0,443.0,1.0,15.0,0.9673423423423424,0.9017746415652396,0.772493129415551,0.0,50.0,0.0,4.0,0.875,0.5,0.0,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,9,,0.0424689999999827,0.004564400000163,,,25.0,442.0,2.0,17.0,0.968951093951094,0.9029159749344264,0.7246354428928556,2.0,50.0,0.0,2.0,0.98,0.8303571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,Yeo-Johnson + Scaling,10,,0.0376417999996192,0.0046618999986094,,,25.0,442.0,2.0,17.0,0.9650900900900902,0.8955701373203847,0.7246354428928556,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,Quantile Transform,1,,0.0453206000001955,0.0088791999987734,0.5391998291015625,0.0742330551147461,19.0,443.0,2.0,22.0,0.9567004658810632,0.8391986021770375,0.6272967443171876,3.0,49.0,0.0,2.0,0.9673469387755104,0.8111111111111111,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,Quantile Transform,2,,0.0175473999988753,0.0100368000003072,,,19.0,443.0,2.0,22.0,0.9595505617977528,0.8263077998210396,0.6272967443171876,0.0,49.0,0.0,5.0,0.9551020408163264,0.6075757575757575,0.0,
climate-model-simulation-crashes,GaussianNB,Quantile Transform,3,,0.0249200999987806,0.0071771999992051,,,17.0,443.0,2.0,24.0,0.9563716086599068,0.7862219413911729,0.5881235507852756,0.0,49.0,0.0,5.0,0.96734693877551,0.800909090909091,0.0,
climate-model-simulation-crashes,GaussianNB,Quantile Transform,4,,0.0239617000006546,0.0117992000014055,,,21.0,443.0,2.0,20.0,0.9662373252946012,0.8266394865469022,0.6645464107258712,1.0,49.0,0.0,4.0,0.8775510204081634,0.5091925465838509,0.4300065817837658,
climate-model-simulation-crashes,GaussianNB,Quantile Transform,5,,0.0233183000000281,0.0088234000013471,,,16.0,445.0,0.0,25.0,0.9586187996711426,0.8377047141343811,0.6078538048363027,2.0,48.0,1.0,3.0,0.9673469387755104,0.6544444444444444,0.4803460137413101,
climate-model-simulation-crashes,GaussianNB,Quantile Transform,6,,0.0238403999992442,0.0103615000007266,,,19.0,444.0,1.0,22.0,0.9585639901342834,0.8381031229747544,0.6452419836307794,3.0,48.0,1.0,2.0,0.9346938775510204,0.6754901960784314,0.6414906110627284,
